Number of Vehicles Stopped,Total Waiting Time of All Vehicles,Total CO2 Emissions Released
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2584.126254744253
0,0.0,0.0
0,0.0,4403.779471404789
0,0.0,0.0
0,0.0,6184.830501748012
0,0.0,0.0
0,0.0,2178.982666252544
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,3989.440977708678
0,0.0,0.0
0,0.0,2620.911392712448
0,0.0,3107.990645113956
0,0.0,3234.1781789718816
0,0.0,4243.029256210995
0,0.0,9132.887750903907
0,0.0,23718.512153135063
0,0.0,18763.335032892322
0,0.0,3452.8201722998892
0,0.0,17663.150075706886
0,0.0,30834.862214979592
0,0.0,0.0
0,0.0,0.0
0,0.0,2459.214611975223
0,0.0,9769.535852510533
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,2266.2490903119906
0,0.0,4120.089153303396
0,0.0,3978.6179454310927
0,0.0,10774.664735811612
0,0.0,2390.537962433587
0,0.0,5154.681989869429
0,0.0,7296.140609275519
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,22241.64504175416
0,0.0,14371.48943266784
0,0.0,0.0
0,0.0,15420.124523492612
0,0.0,16878.482996874896
0,0.0,0.0
0,0.0,5814.9184229201755
0,0.0,7258.826985819938
0,0.0,2714.3033269928496
0,0.0,9056.685533960122
0,0.0,37277.05898190313
0,0.0,20526.30143459702
0,0.0,2668.4964587940553
0,0.0,17132.442824439924
0,0.0,11404.894761802789
0,0.0,2894.611135773066
0,0.0,20744.08253137334
0,0.0,38736.702717039894
0,0.0,5088.161649225181
0,0.0,28840.38036468774
0,0.0,21825.1997192982
0,0.0,18397.177941295813
0,0.0,45452.69329378762
0,0.0,11506.402175027255
0,0.0,16852.76565066473
0,0.0,17813.05578760218
0,0.0,48183.602358009455
1,1.0,24987.184640673368
1,2.0,36265.1874947114
2,4.0,12103.589903805127
3,7.0,26244.535997563697
3,10.0,22956.831481544672
3,13.0,55686.286212645085
3,16.0,34810.36660010013
3,19.0,21701.656326283355
3,22.0,15866.37155581785
3,25.0,14811.539427771464
3,28.0,12003.11545963396
4,32.0,13144.39447342838
4,36.0,13232.801270502147
4,40.0,13232.028704148555
2,25.0,9378.333333333334
1,13.0,9766.513092193802
0,0.0,13685.886424531545
0,0.0,11130.791895529512
0,0.0,11202.728935616422
0,0.0,15264.323779294533
0,0.0,16588.76545927485
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
0,0.0,0.0
